time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,horizontalError,depthError,magError,magNst
2023-01-01T00:49:25.294Z,52.1,178.522,82.77,3.1,ml,14.0,139.0,0.87,0.18,us,us7000j5a1,2023-03-11T22:51:52.040Z,"Rat Islands, Aleutian Islands, Alaska",8.46,21.213,0.097,14.0
2023-01-01T01:41:43.755Z,7.14,126.738,79.194,4.5,mb,32.0,104.0,1.152,0.47,us,us7000j3xk,2023-03-11T22:51:45.040Z,"23 km ESE of Manay, Philippines",5.51,7.445,0.083,43.0
2023-01-01T02:12:57.668Z,44.37,-115.201,10.0,2.5,ml,16.0,82.0,0.774,0.71,us,us7000j1bq,2023-03-11T22:51:29.040Z,"26 km NW of Stanley, Idaho",2.26,1.873,0.048,58.0
2023-01-01T03:16:14.442Z,-6.707,155.232,35.0,5.4,mww,130.0,36.0,3.946,0.68,us,us7000j1bs,2023-03-11T22:51:29.040Z,"51 km SSW of Panguna, Papua New Guinea",8.95,1.77,0.098,10.0
2023-01-01T03:29:31.070Z,19.163,-66.525,24.0,3.93,md,23.0,246.0,0.8479,0.22,pr,pr2023001000,2023-03-11T22:51:29.040Z,Puerto Rico region,0.91,15.95,0.09,16.0
2023-01-01T04:09:32.814Z,-4.78,102.767,63.787,4.3,mb,17.0,187.0,0.457,0.51,us,us7000j3xm,2023-03-11T22:51:45.040Z,"99 km SSW of Pagar Alam, Indonesia",10.25,6.579,0.238,5.0
2023-01-01T04:29:13.793Z,53.397,-166.942,10.0,3.0,ml,19.0,190.0,0.4,0.31,us,us7000j1zd,2023-03-11T22:51:38.040Z,"59 km SSW of Unalaska, Alaska",1.41,1.999,0.085,18.0
2023-01-01T04:50:17.639Z,19.281,-155.428,37.751,2.8,ml,19.0,127.0,0.066,0.18,us,us7000j1c7,2023-03-11T22:51:29.040Z,"10 km NNE of P?hala, Hawaii",2.77,5.266,0.06,36.0
2023-01-01T04:54:53.914Z,-19.042,-177.542,556.99,4.1,mb,15.0,87.0,3.051,0.15,us,us7000j3xu,2023-03-11T22:51:45.040Z,Fiji region,12.85,13.028,0.213,6.0
2023-01-01T05:02:46.402Z,-15.322,-174.876,255.47,4.1,mb,40.0,81.0,3.413,0.32,us,us7000j3xn,2023-03-11T22:51:45.040Z,Tonga,9.84,6.047,0.095,34.0
2023-01-01T05:18:17.780Z,40.704,-124.206,18.47,2.7,md,30.0,154.0,0.01251,0.14,nc,nc73827421,2023-03-11T22:51:26.040Z,"3km SSW of Humboldt Hill, CA",0.41,0.28,0.112,35.0
2023-01-01T05:27:09.979Z,17.453,93.425,39.85,4.7,mb,45.0,85.0,3.459,0.5,us,us7000j1cd,2023-03-11T22:51:29.040Z,"157 km WNW of Pathein, Myanmar",8.67,7.199,0.097,33.0
2023-01-01T05:37:05.794Z,2.475,128.639,231.588,4.1,mb,27.0,119.0,2.117,0.45,us,us7000j3xs,2023-03-11T22:51:45.040Z,"108 km NE of Tobelo, Indonesia",7.94,9.269,0.123,18.0
2023-01-01T05:37:17.016Z,51.461,-177.48,33.99,3.0,ml,23.0,208.0,0.337,0.49,us,us7000j5a0,2023-03-11T22:51:52.040Z,,3.0,10.5,0.115,10.0
2023-01-01T06:19:31.410Z,36.596,-121.2,8.14,3.14,ml,67.0,66.0,0.02686,0.1,nc,nc73827426,2023-03-11T22:51:29.040Z,"9km NW of Pinnacles, CA",0.14,0.3,0.146,58.0
2023-01-01T06:24:46.403Z,-15.147,66.796,10.0,4.2,mb,20.0,108.0,5.629,0.78,us,us7000j3ye,2023-03-11T22:51:46.040Z,Mid-Indian Ridge,9.84,1.875,0.167,14.0
2023-01-01T06:39:45.016Z,36.537,70.908,187.282,4.8,mb,108.0,37.0,2.506,0.49,us,us7000j1cr,2023-03-11T22:51:29.040Z,"36 km S of Jurm, Afghanistan",6.21,5.592,0.04,194.0
2023-01-01T06:49:10.190Z,36.595,-121.206,7.74,3.9,mw,70.0,72.0,0.02872,0.13,nc,nc73827436,2023-03-11T22:51:29.040Z,"9km NW of Pinnacles, CA",0.16,0.33,,5.0
2023-01-01T07:03:01.860Z,-58.86,-25.65,44.616,5.2,mww,64.0,69.0,7.537,0.67,us,us7000j1d2,2023-03-11T22:51:29.040Z,,6.13,5.462,0.089,12.0
2023-01-01T08:26:08.383Z,52.557,-166.991,29.532,3.6,mb,50.0,177.0,1.02,0.51,us,us7000j3xx,2023-03-11T22:51:46.040Z,"133 km ESE of Nikolski, Alaska",5.88,7.319,0.098,26.0
2023-01-01T08:29:01.360Z,-6.282,154.695,103.184,4.2,mb,35.0,126.0,3.266,0.82,us,us7000j3xr,2023-03-11T22:51:45.040Z,"87 km W of Panguna, Papua New Guinea",7.98,7.466,0.102,31.0
2023-01-01T08:32:16.464Z,52.614,-166.999,18.2,3.0,ml,19.0,220.0,0.969,0.39,us,us7000j3yd,2023-03-11T22:51:46.040Z,"130 km ESE of Nikolski, Alaska",8.0,14.3,0.097,14.0
2023-01-01T08:33:24.109Z,52.498,-166.882,23.98,2.6,ml,14.0,249.0,1.106,0.42,us,us7000j5dc,2023-03-11T22:51:52.040Z,"142 km ESE of Nikolski, Alaska",4.2,12.0,0.097,14.0
2023-01-01T08:47:06.399Z,23.937,122.571,31.485,4.1,mb,39.0,70.0,0.663,0.56,us,us7000j3xz,2023-03-11T22:51:46.040Z,"73 km SW of Yonakuni, Japan",4.12,3.215,0.123,23.0
2023-01-01T08:58:03.190Z,17.982,-66.999,12.94,2.53,md,6.0,190.0,0.1021,0.14,pr,pr71390133,2023-01-01T09:29:02.140Z,"5 km E of La Parguera, Puerto Rico",0.65,0.49,0.0880066643267032,6.0
2023-01-01T09:04:40.710Z,17.83,-65.986,10.92,2.78,md,8.0,245.0,0.1773,0.14,pr,pr71390148,2023-01-01T09:28:26.140Z,"16 km S of Lamboglia, Puerto Rico",0.87,0.63,0.126662943848781,7.0
2023-01-01T09:06:48.150Z,17.927,-66.915,14.0,3.81,md,27.0,225.0,0.06,0.12,pr,pr2023001001,2023-03-11T22:51:29.040Z,"5 km S of Guánica, Puerto Rico",0.65,0.52,0.13,22.0
2023-01-01T09:07:25.940Z,35.817,-121.352,3.74,2.6,md,42.0,176.0,0.1047,0.13,nc,nc73827466,2023-03-11T22:51:29.040Z,"24km NW of San Simeon, CA",0.38,0.77,0.142,44.0
2023-01-01T10:09:37.830Z,18.206,-67.117,21.88,2.95,md,26.0,97.0,0.005188,0.13,pr,pr71390183,2023-01-01T11:14:15.230Z,"2 km ENE of Mayagüez, Puerto Rico",0.27,0.4,0.185128106552634,10.0
2023-01-01T10:35:06.137Z,18.632,120.964,46.019,4.4,mb,36.0,125.0,4.166,0.49,us,us7000j1eg,2023-03-11T22:51:29.040Z,"12 km WNW of Claveria, Philippines",5.16,8.249,0.12,20.0
2023-01-01T10:44:46.322Z,10.069,126.557,33.676,4.3,mb,21.0,176.0,3.133,0.39,us,us7000j3xv,2023-03-11T22:51:46.040Z,"55 km ENE of Pilar, Philippines",12.72,7.652,0.153,12.0
2023-01-01T12:18:59.423Z,-23.074,-68.922,106.733,4.8,mwr,47.0,80.0,0.696,0.81,us,us7000j1ew,2023-03-11T22:51:29.040Z,"68 km S of Calama, Chile",4.26,4.252,0.057,30.0
2023-01-01T12:29:07.036Z,63.56,-149.816,109.4,2.5,ml,,,,0.63,ak,ak0231uus49,2023-03-11T22:51:29.040Z,"47 km WNW of Cantwell, Alaska",,0.4,,
